time_index,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,residential_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
107,0.021021506,0.033930926,0.00764816,0.023094962,0.01938621,0.009989339
108,0.022043378,0.036768327,0.007225176,0.023657135,0.019571104,0.009708398
109,0.023270879,0.039522707,0.006266202,0.0235258,0.019363367,0.009388058
110,0.025180194,0.04062985,0.006051353,0.023113533,0.019724319,0.008993358
111,0.024923984,0.040240989,0.005689916,0.022302258,0.018442176,0.008511353
112,0.026990031,0.036591262,0.00494676,0.021622502,0.017778914,0.008015629
113,0.026238751,0.035236209,0.004382748,0.020792743,0.016717823,0.007565375
114,0.024714987,0.034594439,0.004196523,0.020555164,0.015990537,0.007095981
115,0.023877519,0.035442676,0.004613392,0.020321849,0.01548439,0.006615784
116,0.024058552,0.035300129,0.004684675,0.020670068,0.015728823,0.006097187
117,0.02445407,0.040855617,0.003883556,0.02052214,0.015811534,0.005571018
118,0.024593148,0.131479334,0.003222454,0.020442928,0.016201563,0.005058973
119,0.02527097,inf,0.003063575,0.021743103,0.017300918,0.004530932
120,0.027657547,0.065902204,0.004463947,0.02242533,0.017456571,0.003918211
121,0.028866402,inf,0.004540999,0.024770111,0.017728403,0.003276994
122,0.029155063,inf,0.004950009,0.027859177,0.018659242,0.006986617
123,0.029351396,inf,0.004173205,0.029523024,0.018675428,0.006932525
124,0.028515977,inf,0.003507753,0.027542273,0.018105656,0.006872468
125,0.029178979,inf,0.002957633,0.027950688,0.016514106,0.006447272
126,0.02988071,0.085821479,0.002278851,0.026091402,0.016202188,0.006063678
127,0.028168142,0.074597811,0.003287536,0.025389461,0.017565838,0.00555545
128,0.027374081,0.079563631,0.005162037,0.025708615,0.017605563,0.005071957
129,0.025865103,inf,0.004126987,0.023272299,0.018636858,0.004604282
130,0.025273172,0.106447683,0.003277341,0.020706359,0.017851026,0.004160377
131,0.024534935,inf,0.002479758,0.018957951,0.019448765,0.003947655
132,0.023013338,inf,0.001615559,0.018061677,0.021545147,0.004281354
133,0.019266371,0.083315994,0.000827737,0.016606655,0.02307029,0.00419887
134,0.019975367,inf,,0.018642848,0.022289618,0.005067292
135,0.020822161,0.084717759,,0.019240918,0.022039456,0.005375249
136,0.024924413,0.061843177,,0.022309859,0.026291155,0.005842033
137,0.03415509,0.058957449,,0.022629693,0.029058993,0.00641611
138,inf,inf,,0.017647018,0.033352455,0.014566089
139,0.064255072,inf,,0.017713307,0.021814433,0.014037659
140,0.05574884,inf,,0.020290075,0.026363578,0.01369447
141,inf,inf,,0.021590247,0.029262636,0.013386923
142,inf,0.273355773,,0.020723954,0.036745445,0.013111993
143,0.061345956,inf,,0.01877955,0.036594645,0.0128469
